quarter_end,component,rank,characteristic,loading,proposed_name
2017-12-31,pc_2,5,rsi_14d,0.30195358943431694,
2017-12-31,pc_3,1,pe_ratio,0.47925009059732554,
2017-12-31,pc_3,2,sales_growth,0.4749209475736239,
2017-12-31,pc_3,3,market_cap,-0.4241619676614499,
2017-12-31,pc_3,4,cash_flow_growth,0.35929192018259803,
2017-12-31,pc_3,5,volatility_60d,0.22508200470719641,
2018-03-31,pc_1,1,close_price,0.41951885197685895,
2018-03-31,pc_1,2,ask_price,0.4194781035313867,
2018-03-31,pc_1,3,bid_price,0.4194729391074861,
2018-03-31,pc_1,4,dividend_per_share,0.39308190356315825,
2018-03-31,pc_1,5,shares_outstanding,-0.3830975366028815,
2018-03-31,pc_2,1,price_to_sales,0.39759068356762906,
2018-03-31,pc_2,2,volatility_60d,0.3617793093686929,
2018-03-31,pc_2,3,rsi_14d,0.35271862816243915,
2018-03-31,pc_2,4,sales_growth,0.3250055224376003,
2018-03-31,pc_2,5,pe_ratio,0.28802666500391255,
2018-03-31,pc_3,1,market_cap,-0.45104934966032917,
2018-03-31,pc_3,2,pe_ratio,0.4046052264500817,
2018-03-31,pc_3,3,sales_growth,0.36382866285224325,
2018-03-31,pc_3,4,price_to_book,0.3563837410062588,
2018-03-31,pc_3,5,normalized_roe,0.33378503683167476,
2018-06-30,pc_1,1,bid_price,0.4267559124074307,
2018-06-30,pc_1,2,ask_price,0.42675274987686396,
2018-06-30,pc_1,3,close_price,0.42668366531482854,
2018-06-30,pc_1,4,dividend_per_share,0.3922477077769858,
2018-06-30,pc_1,5,shares_outstanding,-0.3817419330188572,
2018-06-30,pc_2,1,rsi_14d,0.3852493555950766,
2018-06-30,pc_2,2,price_to_sales,0.38226652555663804,
2018-06-30,pc_2,3,pe_ratio,0.34495002959780097,
2018-06-30,pc_2,4,sentiment,0.3417850212827218,
2018-06-30,pc_2,5,normalized_roe,-0.28928786442995563,
2018-06-30,pc_3,1,price_to_book,0.4957844976056416,
2018-06-30,pc_3,2,normalized_roe,0.4793034721847422,
2018-06-30,pc_3,3,pe_ratio,0.3949191262571397,
2018-06-30,pc_3,4,price_to_sales,0.3626052302610182,
2018-06-30,pc_3,5,market_cap,-0.21456829684687267,
2018-09-30,pc_1,1,bid_price,0.4174999380995222,
2018-09-30,pc_1,2,ask_price,0.4174950863137069,
2018-09-30,pc_1,3,close_price,0.4174761938021184,
2018-09-30,pc_1,4,dividend_per_share,0.3943660039786973,
2018-09-30,pc_1,5,shares_outstanding,-0.3942458224183167,
2018-09-30,pc_2,1,price_to_sales,0.3915683939212151,
2018-09-30,pc_2,2,rsi_14d,0.3811281975937288,
2018-09-30,pc_2,3,sentiment,0.3454074616060652,
2018-09-30,pc_2,4,pe_ratio,0.33278897934187013,
2018-09-30,pc_2,5,normalized_roe,-0.2814688380485336,
2018-09-30,pc_3,1,price_to_book,0.49908499316218713,
2018-09-30,pc_3,2,normalized_roe,0.4884470369905863,
2018-09-30,pc_3,3,price_to_sales,0.3633585544914958,
2018-09-30,pc_3,4,sentiment,-0.3590727896402556,
2018-09-30,pc_3,5,pe_ratio,0.324336874458073,
2018-12-31,pc_1,1,close_price,0.4316131901051844,
2018-12-31,pc_1,2,ask_price,0.43157982294450714,
2018-12-31,pc_1,3,bid_price,0.43157442395107143,
2018-12-31,pc_1,4,dividend_per_share,0.39189814297738745,
2018-12-31,pc_1,5,shares_outstanding,-0.3753973672657222,
2018-12-31,pc_2,1,price_to_sales,0.43927220564778474,
2018-12-31,pc_2,2,rsi_14d,0.36671665101200085,
2018-12-31,pc_2,3,pe_ratio,0.35701163729494995,
2018-12-31,pc_2,4,market_cap,0.3203373386293084,
2018-12-31,pc_2,5,analyst_rating,0.30710435056335283,
2018-12-31,pc_3,1,normalized_roe,0.529615784620569,
2018-12-31,pc_3,2,price_to_book,0.4994210530109348,
2018-12-31,pc_3,3,sentiment,-0.4734706139496094,
2018-12-31,pc_3,4,pe_ratio,0.27523955739510303,
2018-12-31,pc_3,5,sales_growth,-0.26998547768561665,
2019-03-31,pc_1,1,bid_price,0.4263635796280317,
2019-03-31,pc_1,2,close_price,0.42636334785809177,
2019-03-31,pc_1,3,ask_price,0.4263577825944146,
2019-03-31,pc_1,4,dividend_per_share,0.39161234144577123,
2019-03-31,pc_1,5,shares_outstanding,-0.37130318578637456,
2019-03-31,pc_2,1,price_to_sales,0.4530150896448315,
2019-03-31,pc_2,2,pe_ratio,0.39529785505811077,
2019-03-31,pc_2,3,rsi_14d,0.3779592114311731,
2019-03-31,pc_2,4,market_cap,0.3609137241363264,
2019-03-31,pc_2,5,analyst_rating,0.30902926486074705,
2019-03-31,pc_3,1,normalized_roe,0.5440220287122104,
2019-03-31,pc_3,2,price_to_book,0.5240299224597447,
2019-03-31,pc_3,3,sentiment,-0.4897613676269582,
2019-03-31,pc_3,4,pe_ratio,0.22377317997973098,
2019-03-31,pc_3,5,price_to_sales,0.18689353501577,
2019-06-30,pc_1,1,close_price,0.45248335241293886,
2019-06-30,pc_1,2,ask_price,0.45247412113259755,
2019-06-30,pc_1,3,bid_price,0.4524728023047898,
2019-06-30,pc_1,4,dividend_per_share,0.38533974651366854,
2019-06-30,pc_1,5,shares_outstanding,-0.3402765206121385,
2019-06-30,pc_2,1,market_cap,0.44024069498556273,
2019-06-30,pc_2,2,price_to_sales,0.4335828007079499,
2019-06-30,pc_2,3,rsi_14d,0.40379308480315407,
2019-06-30,pc_2,4,pe_ratio,0.3868557684077599,
2019-06-30,pc_2,5,analyst_rating,0.3581394202033315,
2019-06-30,pc_3,1,sentiment,0.4710517701498289,
2019-06-30,pc_3,2,normalized_roe,-0.4644115577665511,
2019-06-30,pc_3,3,price_to_book,-0.4276179449241086,
2019-06-30,pc_3,4,volatility_60d,0.3729466701432428,
2019-06-30,pc_3,5,sales_growth,0.34548794235151076,
2019-09-30,pc_1,1,close_price,0.44658847504846905,
2019-09-30,pc_1,2,ask_price,0.44658829593056215,
2019-09-30,pc_1,3,bid_price,0.4465829930721703,
2019-09-30,pc_1,4,dividend_per_share,0.36663933114032493,
2019-09-30,pc_1,5,shares_outstanding,-0.3127873794863321,
2019-09-30,pc_2,1,market_cap,0.45535851961994633,
2019-09-30,pc_2,2,rsi_14d,0.4014634264039717,
2019-09-30,pc_2,3,price_to_sales,0.39421580738731715,
2019-09-30,pc_2,4,shares_outstanding,0.3498001835012254,
2019-09-30,pc_2,5,pe_ratio,0.3406119884820958,
2019-09-30,pc_3,1,normalized_roe,-0.5701451280868876,
2019-09-30,pc_3,2,price_to_book,-0.5648482572672473,
2019-09-30,pc_3,3,sentiment,0.41053184823215094,
2019-09-30,pc_3,4,volatility_60d,0.29255422983217183,
2019-09-30,pc_3,5,analyst_rating,0.16773794837362724,
2019-12-31,pc_1,1,bid_price,0.4577670893942082,
2019-12-31,pc_1,2,ask_price,0.45776523206615605,
2019-12-31,pc_1,3,close_price,0.45776059203395,
2019-12-31,pc_1,4,dividend_per_share,0.38440121907777997,
2019-12-31,pc_1,5,shares_outstanding,-0.3220505553594991,
2019-12-31,pc_2,1,market_cap,0.4236080245282289,
2019-12-31,pc_2,2,price_to_sales,0.4210177792267201,
2019-12-31,pc_2,3,rsi_14d,0.3593140385334214,
2019-12-31,pc_2,4,analyst_rating,0.34961135407484334,
2019-12-31,pc_2,5,shares_outstanding,0.3392864375361965,
2019-12-31,pc_3,1,volatility_60d,0.4992451929917857,
2019-12-31,pc_3,2,pe_ratio,0.4306202327511851,
2019-12-31,pc_3,3,market_cap,-0.3362664991627169,
2019-12-31,pc_3,4,sales_growth,0.3297789364550778,
2019-12-31,pc_3,5,price_to_sales,0.3073495145360657,
2020-03-31,pc_1,1,bid_price,0.4269664553230833,
2020-03-31,pc_1,2,close_price,0.42696550593462845,
2020-03-31,pc_1,3,ask_price,0.4269524777771454,
2020-03-31,pc_1,4,rsi_14d,0.2934475601010132,
2020-03-31,pc_1,5,dividend_per_share,0.2761121136181299,
2020-03-31,pc_2,1,shares_outstanding,0.43695986423506605,
2020-03-31,pc_2,2,market_cap,0.39279987845616304,
2020-03-31,pc_2,3,analyst_rating,0.3926516609705591,
2020-03-31,pc_2,4,rsi_14d,0.34750585863972355,
2020-03-31,pc_2,5,price_to_sales,0.32058633959597715,
2020-03-31,pc_3,1,normalized_roe,0.6349362994818996,
2020-03-31,pc_3,2,price_to_book,0.5816252816156114,
2020-03-31,pc_3,3,cash_flow_growth,0.25640252256827445,
2020-03-31,pc_3,4,analyst_rating,-0.23341826134721957,
2020-03-31,pc_3,5,volatility_60d,-0.23149771352261386,
2020-06-30,pc_1,1,rsi_14d,0.37543463550440037,
2020-06-30,pc_1,2,bid_price,0.3555706678915154,
2020-06-30,pc_1,3,ask_price,0.35556118666544706,
2020-06-30,pc_1,4,close_price,0.3555481620283628,
2020-06-30,pc_1,5,volatility_60d,-0.3295394845908905,
2020-06-30,pc_2,1,shares_outstanding,0.48149494876847,
2020-06-30,pc_2,2,dividend_per_share,-0.39004119528739556,
2020-06-30,pc_2,3,analyst_rating,0.37993383238998935,
2020-06-30,pc_2,4,market_cap,0.3221082435004345,
2020-06-30,pc_2,5,close_price,-0.2668672909350622,
2020-06-30,pc_3,1,normalized_roe,-0.536753702314015,
2020-06-30,pc_3,2,price_to_book,-0.523861747153222,
2020-06-30,pc_3,3,cash_flow_growth,-0.38050424117810205,
