date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2017-09-29,3.5139,5.8026,11.678,5.2161,3.5134,2.8914,1.7384,6.0934,10.6855,3.4355,3.0346,2.5953,2.8597,2.2919,2.3113,2.0298,3.8693,3.73,2.1762,5.7147,1.5212,1.8191,2.2236,3.299,5.4291,4.1599,0.3875,0.4094,0.5715,2.1378,3.6327,5.1664,2.5045,0.4771,0.5583,2.4109,4.2145,2.2748,1.9438,0.516
2017-12-29,3.6518,6.452,11.9574,5.0443,3.9578,3.4568,1.8073,6.9178,11.8458,4.2351,3.3012,2.9997,3.0813,2.2559,2.4195,2.1397,3.7967,3.8506,2.2473,6.1235,1.5021,1.8491,2.3008,3.0731,5.4931,4.5057,0.4314,0.4466,0.5828,2.0632,3.6147,5.4125,2.6902,0.5909,0.6147,2.4997,4.3049,2.3287,2.1964,0.5649
2018-03-29,3.4675,6.6441,12.723,4.8264,4.3355,3.8132,1.7771,6.6841,13.8349,3.6351,3.2363,3.0045,2.6211,1.9602,2.193,2.0836,3.4958,3.9155,2.0257,6.2164,1.2945,1.6109,2.3465,2.8622,4.8609,3.7344,0.4108,0.4677,0.5215,1.8545,3.0747,5.3369,2.4263,0.5234,0.6076,2.3886,4.0166,2.0945,1.654,0.5455
2018-06-29,3.6615,6.8795,12.0792,4.6063,4.2137,3.5076,1.5954,6.9169,14.7794,3.6484,2.9408,2.8058,2.7395,1.8611,1.7732,1.7304,3.3714,3.3755,2.0582,5.5681,1.3508,1.6732,2.5748,2.8827,5.0412,4.4684,0.4469,0.4139,0.5463,1.6929,3.025,5.4273,2.4012,0.4967,0.6569,2.3199,3.6056,1.9925,1.6215,0.6081
2018-09-28,4.2237,7.6549,13.7324,5.2994,4.5775,3.1702,1.7273,6.6349,15.478,4.6594,3.0656,2.8556,2.542,1.9159,1.7237,1.6204,3.4659,3.284,2.1682,5.2205,1.3136,1.5152,2.6107,2.5721,4.5454,3.7941,0.4262,0.4385,0.4985,1.4786,3.1643,5.7625,2.4517,0.5403,0.7275,2.4368,3.7427,2.1507,1.5549,0.644
2018-12-31,2.9222,6.5905,6.9239,4.5174,3.9397,3.052,1.3021,5.8105,12.2882,3.7039,2.536,2.2683,2.1879,1.3358,1.2301,1.3495,2.8968,2.7295,1.8866,4.4356,1.0425,1.2992,1.9963,1.5222,2.9565,2.6217,0.2731,0.3168,0.3631,0.9699,3.48,5.9967,2.4172,0.5302,0.6172,2.2712,3.3339,2.1481,1.4102,0.5468
2019-03-29,3.503,7.4118,10.1755,5.1774,4.7517,3.4612,1.6214,6.5327,13.6553,3.5756,2.525,2.4595,2.2253,1.5304,1.4106,1.4015,2.9652,2.7578,2.1069,4.8852,1.2523,1.4864,2.0984,1.8354,3.1598,2.7764,0.3125,0.3173,0.3977,1.0686,3.9233,5.7543,2.6628,0.5501,0.7221,2.8374,3.8534,2.3341,1.8599,0.5774
2019-06-28,3.5928,8.1677,9.8129,5.2086,4.6545,3.0761,1.589,7.1547,14.2512,3.7858,2.6916,2.4968,2.1036,1.6426,1.4726,1.4154,3.1297,2.9916,2.308,5.3468,1.205,1.5403,1.9295,1.6758,3.0665,2.0591,0.3184,0.2931,0.3917,0.8362,4.0558,6.1563,2.8255,0.6154,0.776,3.0547,4.0202,2.5039,1.8696,0.6081
2019-09-30,3.9819,8.2069,10.5793,4.8433,4.1195,3.2732,1.6802,8.2447,12.6526,3.8068,2.7283,2.4455,2.1663,1.5556,1.479,1.3437,3.2166,3.0016,2.1452,4.995,1.1562,1.5376,1.869,1.4393,2.5178,1.8152,0.3248,0.3344,0.4348,0.7115,4.5301,6.4578,2.9136,0.6527,0.8297,3.116,4.0893,2.6524,1.9792,0.6793
2019-12-31,4.9568,8.9796,13.1404,4.5073,3.9834,3.6672,1.5415,8.349,14.36,4.3073,3.154,2.9119,2.2749,1.7361,1.5842,1.5357,3.4295,3.382,2.1925,5.3922,1.1659,1.6221,2.2328,1.6908,2.8312,1.6105,0.357,0.3388,0.4683,0.9557,4.4896,6.3502,2.8508,0.6463,0.8368,3.0767,3.7689,2.5599,1.9288,0.7259
