date,AAPL US Equity, MSFT US Equity, NVDA US Equity, ORCL US Equity, CSCO US Equity, INTC US Equity, IBM US Equity, TXN US Equity, ADBE US Equity, QCOM US Equity, JPM US Equity, BAC US Equity, WFC US Equity, C US Equity, GS US Equity, MS US Equity, USB US Equity, PNC US Equity, AXP US Equity, BLK US Equity, XOM US Equity, CVX US Equity, COP US Equity, SLB US Equity, EOG US Equity, OXY US Equity, VLO US Equity, MPC US Equity, PSX US Equity, HAL US Equity, PG US Equity, KO US Equity, PEP US Equity, WMT US Equity, COST US Equity, MDLZ US Equity, CL US Equity, KMB US Equity, GIS US Equity, SYY US Equity
2017-09-29,0.6,1.56,0.014,0.68,1.1,1.065,5.8,2.0,,2.2,1.96,0.345,1.53,0.8,2.8,0.85,1.14,2.4,1.28,9.79,3.04,4.32,1.045,2.0,0.67,3.05,2.7,1.48,2.66,0.72,2.7182,1.46,3.115,0.6767,8.9,0.79,1.58,3.83,1.93,1.3
2017-12-29,0.615,1.59,0.0143,0.72,1.13,1.0775,5.9,2.12,,2.24,2.04,0.39,1.54,0.96,2.9,0.9,1.16,2.6,1.31,10.0,3.06,4.32,1.06,2.0,0.67,3.06,2.8,1.52,2.73,0.72,2.7383,1.48,3.1675,0.68,8.95,0.82,1.59,3.88,1.94,1.32
2018-03-29,0.63,1.62,0.0145,0.76,1.16,1.1175,6.0,2.24,,2.28,2.12,0.435,1.55,1.12,3.0,0.95,1.18,2.8,1.34,10.38,3.08,4.36,1.08,2.0,0.67,3.07,2.9,1.62,2.8,0.72,2.7584,1.5,3.22,0.6833,9.0,0.85,1.6,3.91,1.95,1.35
2018-06-29,0.655,1.65,0.0147,0.76,1.2,1.145,6.07,2.36,,2.33,2.18,0.48,1.56,1.28,3.05,1.0,1.2,3.0,1.37,10.76,3.13,4.4,1.1,2.0,0.6875,3.08,3.0,1.72,2.9,0.72,2.786,1.52,3.3425,0.6867,2.07,0.88,1.62,3.94,1.96,1.38
2018-09-28,0.68,1.68,0.015,0.76,1.24,1.1725,6.14,2.48,,2.38,2.24,0.51,1.6,1.41,3.1,1.05,1.27,3.2,1.4,11.39,3.18,4.44,1.12,2.0,0.705,3.09,3.1,1.78,3.0,0.72,2.8136,1.54,3.465,0.69,2.14,0.92,1.64,3.97,1.96,1.41
2018-12-31,0.705,1.72,0.0152,0.76,1.28,1.2,6.21,2.63,,2.43,2.48,0.54,1.64,1.54,3.15,1.1,1.34,3.4,1.44,12.02,3.23,4.48,1.16,2.0,0.7575,3.1,3.2,1.84,3.1,0.72,2.8412,1.56,3.5875,0.6933,2.21,0.96,1.66,4.0,1.96,1.44
2019-03-29,0.73,1.76,0.0155,0.76,1.32,1.215,6.28,2.78,,2.48,2.72,0.57,1.7,1.67,3.2,1.15,1.41,3.6,1.48,12.44,3.28,4.55,1.18,2.0,0.81,3.11,3.3,1.91,3.2,0.72,2.8688,1.57,3.71,0.6967,2.28,1.0,1.68,4.03,1.96,1.47
2019-06-28,0.74,1.8,0.0158,0.81,1.34,1.23,6.33,2.93,,2.48,2.96,0.6,1.76,1.8,3.25,1.2,1.48,3.8,1.52,12.86,3.33,4.62,1.2,2.0,0.845,3.12,3.4,1.98,3.3,0.72,2.8975,1.58,3.7375,0.7,2.36,1.04,1.69,4.06,1.96,1.5
2019-09-30,0.75,1.84,0.016,0.86,1.36,1.245,6.38,3.08,,2.48,3.2,0.63,1.84,1.86,3.7,1.25,1.53,4.0,1.56,13.03,3.38,4.69,1.22,2.0,0.9475,3.13,3.5,2.05,3.4,0.72,2.9262,1.59,3.765,0.7033,2.44,1.065,1.7,4.09,1.96,1.53
2019-12-31,0.76,1.89,0.016,0.91,1.38,1.26,6.43,3.21,,2.48,3.3,0.66,1.92,1.92,4.15,1.3,1.58,4.2,1.6,13.2,3.43,4.76,1.335,2.0,1.015,3.14,3.6,2.12,3.5,0.72,2.9549,1.6,3.7925,0.7067,2.52,1.09,1.71,4.12,1.96,1.56
2020-03-31,0.77,1.94,0.016,0.96,1.4,1.275,6.48,3.34,,2.48,3.4,0.69,1.98,1.98,4.6,1.35,1.63,4.4,1.64,13.53,3.48,4.86,1.45,2.0,1.0825,3.15,3.68,2.17,3.6,0.72,2.9836,1.61,3.82,0.71,2.6,1.115,1.72,4.16,1.96,1.62
2020-06-30,0.7825,1.99,0.016,0.96,1.41,1.29,6.49,3.47,,2.51,3.5,0.72,2.04,2.04,5.0,1.4,1.68,4.6,1.68,13.86,3.48,4.96,1.565,1.625,1.2375,2.38,3.76,2.22,3.6,0.585,3.0284,1.62,3.8875,0.7133,2.65,1.14,1.73,4.2,1.96,1.68
2020-09-30,0.795,2.04,0.016,0.96,1.42,1.305,6.5,3.6,,2.54,3.6,0.72,1.63,2.04,5.0,1.4,1.68,4.6,1.72,14.19,3.48,5.06,1.68,1.25,1.325,1.6,3.84,2.27,3.6,0.45,3.0732,1.63,3.955,0.7167,2.7,1.17,1.74,4.24,1.96,1.74
2020-12-31,0.8075,2.09,0.016,0.96,1.43,1.32,6.51,3.72,,2.57,3.6,0.72,1.22,2.04,5.0,1.4,1.68,4.6,1.72,14.52,3.48,5.16,1.69,0.875,1.4125,0.82,3.92,2.32,3.6,0.315,3.118,1.64,4.0225,0.72,12.75,1.2,1.75,4.28,1.98,1.8
2021-03-31,0.82,2.14,0.016,0.96,1.44,1.3375,6.52,3.84,,2.6,3.6,0.72,0.81,2.04,5.0,1.4,1.68,4.6,1.72,15.02,3.48,5.16,1.7,0.5,1.5,0.04,3.92,2.32,3.6,0.18,3.1628,1.65,4.09,0.7233,12.8,1.23,1.76,4.35,2.0,1.8
2021-06-30,0.835,2.19,0.016,1.04,1.45,1.355,6.53,3.96,,2.63,3.6,0.72,0.4,2.04,5.0,1.4,1.68,4.6,1.72,15.52,3.48,5.21,1.71,0.5,1.5375,0.04,3.92,2.32,3.6,0.18,3.2419,1.66,4.1425,0.7267,12.89,1.26,1.77,4.42,2.02,1.8
2021-09-30,0.85,2.24,0.016,1.12,1.46,1.3725,6.54,4.08,,2.66,3.6,0.75,0.5,2.04,5.75,1.75,1.72,4.7,1.72,16.02,3.48,5.26,1.72,0.5,2.575,0.04,3.92,2.32,3.6,0.18,3.321,1.67,4.195,0.73,12.98,1.295,1.78,4.49,2.04,1.84
2021-12-31,0.865,2.3,0.016,1.2,1.47,1.39,6.55,4.21,,2.69,3.7,0.78,0.6,2.04,6.5,2.1,1.76,4.8,1.72,16.52,3.49,5.31,1.95,0.5,4.6125,0.04,3.92,2.32,3.62,0.18,3.4001,1.68,4.2475,0.7333,3.07,1.33,1.79,4.56,2.04,1.84
2022-03-31,0.88,2.36,0.016,1.28,1.48,1.4075,6.56,4.34,,2.72,3.8,0.81,0.75,2.04,7.25,2.45,1.8,4.9,1.72,17.27,3.5,5.44,2.28,0.5,5.9875,0.16,3.92,2.32,3.64,0.255,3.4792,1.7,4.3,0.7367,3.16,1.365,1.8,4.58,2.04,1.88
2022-06-30,0.89,2.42,0.016,1.28,1.49,1.425,6.57,4.47,,2.79,3.9,0.84,0.9,2.04,8.0,2.8,1.84,5.25,1.9,18.02,3.51,5.52,3.01,0.55,8.125,0.28,3.92,2.32,3.71,0.33,3.5227,1.72,4.375,0.74,3.27,1.4,1.82,4.6,2.04,1.9
2022-09-30,0.9,2.48,0.016,1.28,1.5,1.4425,6.58,4.6,,2.86,4.0,0.85,1.0,2.04,8.5,2.875,1.86,5.5,1.9,18.77,3.52,5.6,4.44,0.6,8.9625,0.4,3.92,2.32,3.78,0.405,3.5662,1.74,4.45,0.7433,3.38,1.435,1.84,4.62,2.07,1.9
2022-12-30,0.91,2.54,0.016,1.28,1.51,1.46,6.59,4.69,,2.93,4.0,0.86,1.1,2.04,9.0,2.95,1.88,5.75,1.99,19.52,3.55,5.68,4.99,0.65,8.8,0.52,3.92,2.49,3.83,0.48,3.6097,1.76,4.525,0.7467,3.49,1.47,1.86,4.64,2.1,1.92
2023-03-31,0.92,2.6,0.016,1.28,1.52,1.46,6.6,4.78,,3.0,4.0,0.87,1.15,2.04,9.5,3.025,1.9,6.0,2.08,19.64,3.58,5.77,5.34,0.775,8.875,0.57,3.96,2.66,3.96,0.52,3.6532,1.78,4.6,0.75,3.6,1.505,1.88,4.66,2.13,1.94
2023-06-30,0.93,2.66,0.016,1.36,1.53,1.22,6.61,4.87,,3.05,4.0,0.88,1.2,2.04,10.0,3.1,1.92,6.0,2.16,19.76,3.61,5.86,5.29,0.85,7.15,0.62,4.0,2.83,4.04,0.56,3.6806,1.8,4.715,0.7533,3.72,1.54,1.89,4.68,2.16,1.96
2023-09-29,0.94,2.72,0.016,1.44,1.54,0.98,6.62,4.96,,3.1,4.0,0.9,1.25,2.06,10.25,3.175,1.92,6.05,2.24,19.88,3.64,5.95,4.54,0.925,5.725,0.67,4.04,3.0,4.12,0.6,3.708,1.82,4.83,0.7567,3.84,1.58,1.9,4.7,2.21,1.97
2023-12-29,0.95,2.79,0.016,1.52,1.55,0.74,6.63,5.02,,3.15,4.05,0.92,1.3,2.08,10.5,3.25,1.93,6.1,2.32,20.0,3.68,6.04,3.91,1.0,5.8,0.72,4.08,3.075,4.2,0.64,3.7354,1.84,4.945,0.76,18.96,1.62,1.91,4.72,2.26,1.98
2024-03-28,0.96,2.86,0.016,1.6,1.56,0.5,6.64,5.08,,3.2,4.1,0.94,1.35,2.1,10.75,3.325,1.94,6.15,2.4,20.1,3.72,6.16,3.12,1.025,4.885,0.76,4.13,3.15,4.2,0.65,3.7628,1.865,5.06,0.7775,19.08,1.66,1.92,4.76,2.31,1.99
2024-06-28,0.97,2.93,0.022,1.6,1.57,0.5,6.65,5.14,,3.25,4.25,0.96,1.4,2.12,11.0,3.4,1.95,6.2,2.5,20.2,3.76,6.28,3.12,1.05,4.97,0.8,4.18,3.225,4.3,0.66,3.8286,1.89,5.15,0.795,19.22,1.7,1.94,4.8,2.36,2.0
2024-09-30,0.98,3.0,0.028,1.6,1.58,0.375,6.66,5.2,,3.3,4.4,0.98,1.45,2.15,11.25,3.475,1.97,6.25,2.6,20.3,3.8,6.4,3.12,1.075,5.055,0.84,4.23,3.3,4.4,0.67,3.8944,1.915,5.24,0.8125,19.36,1.745,1.96,4.84,2.37,2.01
2024-12-31,0.99,3.08,0.034,1.6,1.59,0.375,6.67,5.26,,3.35,4.6,1.0,1.5,2.18,11.5,3.55,1.98,6.3,2.7,20.4,3.84,6.52,3.12,1.1,3.64,0.88,4.28,3.385,4.5,0.68,3.9602,1.94,5.33,0.83,4.5,1.79,1.98,4.88,2.38,2.02
